23,5,17,25,14,20,9,24,25,31,11,25,11,20,20,16,18,31,3,13,0.083,0.319,0.247,0.371,8.432,41232.88,34.84,1
43,2,35,30,24,31,14,41,35,41,13,24,12,20,15,27,25,26,1,22,0.098,0.337,0.268,0.374,5.44,53914.67,30.58,1
36,1,22,34,14,44,14,39,25,27,8,34,13,12,15,23,39,47,0,12,0.057,0.283,0.296,0.388,5.362,49400.07,26.29,1
25,10,25,34,9,30,12,27,28,48,19,23,9,15,19,18,22,18,0,13,0.054,0.381,0.26,0.339,5.549,45428.75,38.38,1
43,2,34,29,24,32,14,39,35,40,12,23,13,19,13,30,27,28,1,23,0.1,0.331,0.274,0.378,5.431,53624.24,30.68,1
24,10,25,34,9,30,12,28,27,47,18,23,9,15,19,18,22,18,0,13,0.055,0.374,0.262,0.342,5.472,45098.30,38.38,1
43,2,35,30,24,31,14,40,35,41,13,24,12,20,15,27,25,27,1,22,0.098,0.337,0.268,0.374,5.44,53900.64,30.58,1
36,1,22,34,14,45,14,40,25,27,8,33,13,12,15,23,38,47,0,12,0.057,0.283,0.296,0.388,5.362,49355.07,26.15,1
21,6,19,26,14,19,9,24,24,32,11,24,9,20,21,18,18,31,3,12,0.08,0.316,0.247,0.371,7.114,41339.93,37.83,1
42,2,35,30,24,32,15,39,34,40,13,24,13,19,14,29,25,28,1,22,0.098,0.331,0.277,0.372,5.361,53755.35,32.63,1
36,1,21,34,14,45,14,40,25,27,8,34,13,12,15,23,38,47,0,12,0.057,0.283,0.296,0.388,5.428,49354.08,25.96,1
23,8,19,26,15,20,9,25,24,31,10,25,10,20,19,16,16,30,3,12,0.083,0.316,0.249,0.366,6.523,41184.75,35.02,1
43,2,34,29,24,32,14,40,35,40,12,23,13,19,13,30,26,28,1,23,0.1,0.331,0.274,0.378,5.431,53636.29,30.10,1
42,4,22,27,9,22,8,27,22,24,9,11,16,11,13,21,21,35,3,11,0.064,0.346,0.257,0.363,5.088,38905.99,31.69,1
36,1,21,34,14,45,14,39,25,27,8,34,13,12,15,23,39,47,0,12,0.057,0.283,0.296,0.388,5.428,49342.03,25.96,1
42,3,22,27,10,23,8,26,22,23,10,11,16,11,14,20,21,35,3,11,0.067,0.346,0.257,0.36,5.156,38981.06,30.66,1
35,2,22,33,14,46,13,38,25,27,8,32,13,13,15,24,38,49,0,12,0.057,0.279,0.298,0.388,5.368,49250.98,26.70,1
